Abbey Tours - Irlanda;(00353) 86 811 6812 ;eva@abbey.ie
Abbey Tours - Escocia;(0044) 7833451603;eva@abbey.ie
Abreu Tours- (00351) 913 397 959  ;;americalatina@abreu.pt
Abreu Tours- Asistencia en viaje 24h;(00351) 93 302 18 40;americalatina@abreu.pt
Adviser Travel & Tourism- MOHAMMAD AL WHEIDE;(00962) 799526901;reservation@advisertours.com
Amistad Tours Armenia  ;(00374 91) 20 72 02 ;info@amistad-tour.com
Arabian Explorer Emiratos  ;(00971) 50 600 4453;reservations@arabian-explorers.com
Arar Tours ;(0090) 533 293 85 36;arartur@arartur.com.tr
Athens Express- Gloria Garcia ;(0030) 69566 22914 ;emergencias@athens-express.com
Athens Express- Michalis Aposporis;(0030) 6946795144;emergencias@athens-express.com
Ats - Atlas Travel Solution- *ATS LONDON;(0044)(0)7469 146539 ;reservas@atlastravelsolutions.com
Ats - Atlas Travel Solution- *ATS EDINBURGH;(0044) 07983 137 018;reservas@atlastravelsolutions.com
Ats - Atlas Travel Solution- *ATS DUBLIN; (00353) 0 87701 0475;reservas@atlastravelsolutions.com
Avis - Alejandra Lucas. Sale executive;(011) 53295476;reservas@reps-group.com
Balkan Tourist  ;(00359) 889748889 ;vilieva@balkantourist.bg 
Via Hansa & Borealis ;(0045) 53 508 958;Guaranteed.departures.Cph@viahansaborealis.com
Carrani Tours ;(0039) 06 432181 ;emergencies@carrani.com
Caucasus Holidays ;(00374) 43 878700 ;tours3@caucasusholidays.am
Conexión Travel Israel  ;0972-50-9260513;
Cruceros Costa ;11 6797 3282;federico.filadoro@ar.costa.it
Europamundo  ;(0034) 609 007 313 ;orientemedio@europamundo.com
Europamundo  ;(0034) 616 84 19 84;serviciosenruta@europamundo.com 
Europcar (Vanguard) ;;europcar@vanguardmarketing.com.ar 
Europeando Europa ;(0039) 346 8565909;europeando@europeando.it
Eurowelcome Anglovision- Inglaterra;(0044) 789 4481154;duty@eurowelcome.co.uk
Eurowelcome Anglovision- Irlanda;(00353) 86 811 6812 -(00353) 86 673 6578;duty@eurowelcome.co.uk
Eurowelcome Anglovision- Escocia;(0044) 7833451603;duty@eurowelcome.co.uk
Galaxia Tours Dubai  ;(009715) 61702517 ;samah.sobhi@galaxiadubai.com
Galaxia Tours Dubai - Mohamed Azzam;(00971) 52 698 6842;samah.sobhi@galaxiadubai.com
Galaxia Tour Egipto - Sr Emad;002 0122 2 35 3514;
Destination Italia- circuitos;(0039) 0662287876;emergency@destinationitalia.com
Destination Italia- individuales;(0039) 0662287809;emergency@destinationitalia.com
Destination Italia- Grupos;(0039) 3939609812 ;emergency@destinationitalia.com
Gulf Adventures ;(00974) 3133 3183;support@gulf-adventures.com
Iceland Travel- FITS;(00354) 8936115 ;bookings@icelandtravel.is
Iceland Travel- GRUPOS;(00354) 8600402;bookings@icelandtravel.is
Imperatore Travel ;(0039) 081 333 97 00;mariajgonzalez@sinergiamarketing.com.ar
I need Tours ;(0039) 3408867832 ;product@ineedtours.com
Intourist  ;(007)(495) 730-19-50(ext. 3030);Tatiana.Oleynikova@intourist.ru 
Julia Travel- circuitos;(0034) 91 758 06 41;cs@julia.net
Julia Travel- excursiones;(0034) 93 317 64 54;cs@julia.net
Julia Travel- circuitos 24hs;(0034) 689 134 206;cs@julia.net
Kompas- DOUGLAS SCHAPIRO - VP Sales Latam;(001) 778 8819218 ;ana.urbanc@kompas.si
Lifan Travel ;(00351) 917 70 70 73;olga@lifantravel.com
Luxotour ;0034 618 78 0506;reservas@luxotour.com
Master Group -  Agostino Macri;(0039) 348 304 3594 ;agostino.macri@mgto.it
Meridian Tours  ( Sr Hüseyin – español ) ;(0090) 532 772 07 24;gisela.rodriguez@meridian.com.tr 
